               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.036884,            0.041724,           0.0066923,             0.91434,             0.86832,             0.93425,             0.67609,            0.032007,            0.022356,           0.0027139,            0.004357,            0.004357,            0.004357
                  59,             0.03728,            0.041081,           0.0058787,             0.91839,              0.8689,             0.93348,             0.68048,            0.031356,            0.022324,           0.0026929,            0.004258,            0.004258,            0.004258
                  60,            0.035869,            0.046467,           0.0063269,             0.92737,             0.87152,             0.94346,             0.68315,            0.030289,            0.022198,           0.0026649,            0.004159,            0.004159,            0.004159
                  61,            0.035303,            0.040506,           0.0067691,             0.92193,             0.87843,             0.94522,             0.67846,             0.03087,            0.022188,           0.0026211,             0.00406,             0.00406,             0.00406
                  62,            0.035522,            0.043789,           0.0061161,             0.90955,             0.87872,             0.94146,             0.67459,            0.030455,             0.02208,            0.002576,            0.003961,            0.003961,            0.003961
                  63,            0.036206,             0.04366,           0.0068552,             0.89827,             0.88024,             0.94104,             0.68664,            0.029992,            0.021914,           0.0025398,            0.003862,            0.003862,            0.003862
                  64,            0.034939,            0.043494,           0.0064505,             0.91666,             0.86816,             0.93987,              0.6857,            0.029737,            0.022048,           0.0025182,            0.003763,            0.003763,            0.003763
                  65,            0.035207,             0.04176,           0.0059742,             0.91961,              0.8629,             0.93857,             0.68914,            0.029376,            0.021666,           0.0024654,            0.003664,            0.003664,            0.003664
                  66,            0.034884,            0.042129,            0.006227,             0.91943,             0.86617,             0.94316,             0.68307,            0.029843,            0.021756,           0.0024418,            0.003565,            0.003565,            0.003565
                  67,            0.034578,            0.041875,           0.0054902,             0.92104,             0.86493,             0.94575,             0.70236,            0.029395,            0.021569,           0.0024298,            0.003466,            0.003466,            0.003466
                  68,            0.036412,             0.04195,           0.0055134,             0.92206,             0.85714,              0.9445,             0.69015,            0.029095,            0.021454,           0.0023977,            0.003367,            0.003367,            0.003367
                  69,            0.034334,            0.040883,           0.0062209,             0.93282,             0.85932,             0.94666,             0.69488,            0.029336,            0.021485,           0.0023813,            0.003268,            0.003268,            0.003268
                  70,            0.035452,            0.039537,            0.005757,             0.92509,             0.86274,             0.93442,             0.70173,            0.029291,            0.021592,           0.0023769,            0.003169,            0.003169,            0.003169
